match_id,date,year,format,team,opponent,competition,stage,venue,city,result,winner,margin,margin_type,player_of_match,india_players
63963,2001-12-19,2001,Test,India,England,England tour of India,,"M Chinnaswamy Stadium, Bangalore",Bengaluru,Draw,,,,A Flintoff,"SS Das, D Dasgupta, VVS Laxman, SR Tendulkar, R Dravid, SC Ganguly, V Sehwag, A Kumble, Harbhajan Singh, Sarandeep Singh, J Srinath"
66284,2002-06-29,2002,ODI,India,England,NatWest Series,,"Lord's, London",London,Won,India,6.0,wickets,Yuvraj Singh,"SC Ganguly, V Sehwag, D Mongia, SR Tendulkar, R Dravid, Yuvraj Singh, M Kaif, Harbhajan Singh, Z Khan, A Kumble, AB Agarkar"
64814,2002-12-29,2002,ODI,India,New Zealand,India tour of New Zealand,,"McLean Park, Napier",Napier,Lost,New Zealand,35.0,runs,V Sehwag,"SC Ganguly, V Sehwag, VVS Laxman, R Dravid, Yuvraj Singh, M Kaif, SB Bangar, Harbhajan Singh, Z Khan, J Srinath, A Nehra"
64815,2003-01-01,2003,ODI,India,New Zealand,India tour of New Zealand,,"Jade Stadium, Christchurch",Christchurch,Lost,New Zealand,5.0,wickets,DR Tuffey,"V Sehwag, SC Ganguly, VVS Laxman, R Dravid, M Kaif, Yuvraj Singh, SB Bangar, AB Agarkar, Z Khan, Harbhajan Singh, J Srinath"
64816,2003-01-04,2003,ODI,India,New Zealand,India tour of New Zealand,,"Davies Park, Queenstown",Queenstown,Lost,New Zealand,7.0,wickets,AR Adams,"V Sehwag, R Dravid, D Mongia, M Kaif, SC Ganguly, Yuvraj Singh, PA Patel, AB Agarkar, Z Khan, J Srinath, A Nehra"
64817,2003-01-08,2003,ODI,India,New Zealand,India tour of New Zealand,,"Westpac Stadium, Wellington",Wellington,Won,India,2.0,wickets,Z Khan,"SC Ganguly, V Sehwag, D Mongia, SR Tendulkar, R Dravid, Yuvraj Singh, M Kaif, A Kumble, Z Khan, J Srinath, A Nehra"
64819,2003-01-14,2003,ODI,India,New Zealand,India tour of New Zealand,,"Westpac Park, Hamilton",Hamilton,Lost,New Zealand,6.0,wickets,SP Fleming,"SC Ganguly, V Sehwag, SR Tendulkar, D Mongia, R Dravid, Yuvraj Singh, M Kaif, A Kumble, Z Khan, J Srinath, A Nehra"
65241,2003-02-12,2003,ODI,India,Netherlands,ICC World Cup,,"Boland Bank Park, Paarl",Paarl,Won,India,68.0,runs,TBM de Leede,"SC Ganguly, SR Tendulkar, V Sehwag, R Dravid, Yuvraj Singh, M Kaif, D Mongia, Harbhajan Singh, A Kumble, Z Khan, J Srinath"
65244,2003-02-15,2003,ODI,India,Australia,ICC World Cup,,"SuperSport Park, Centurion",Centurion,Lost,Australia,9.0,wickets,JN Gillespie,"SC Ganguly, SR Tendulkar, V Sehwag, R Dravid, Yuvraj Singh, M Kaif, D Mongia, A Kumble, Harbhajan Singh, Z Khan, J Srinath"
65250,2003-02-19,2003,ODI,India,Zimbabwe,ICC World Cup,,Harare Sports Club,Harare,Won,India,83.0,runs,SR Tendulkar,"V Sehwag, SR Tendulkar, D Mongia, SC Ganguly, R Dravid, Yuvraj Singh, M Kaif, Harbhajan Singh, Z Khan, A Nehra, J Srinath"
